Franquicia,Demanda_0_100
COUNTER-STRIKE: GLOBAL OFFENSIVE,100.0
APEX LEGENDS,98.8
PALWORLD,96.4
CALL OF DUTY: MODERN WARFARE II,94.0
NEW WORLD: AETERNUM,92.8
BLACK MYTH: WUKONG,91.6
GRAND THEFT AUTO V LEGACY,90.3
MONSTER HUNTER WILDS,84.3
HELLDIVERS 2,83.1
ELDEN RING,80.7
TERRARIA,79.5
BALDUR'S GATE 3,75.9
DESTINY 2,72.2
TOM CLANCY'S RAINBOW SIX SIEGE,71.0
RUST,69.8
ARK: SURVIVAL EVOLVED,67.4
STARDEW VALLEY,66.2
THE FOREST,65.0
PAYDAY 2,61.4
CYBERPUNK 2077,55.3
DEAD BY DAYLIGHT,54.1
HOGWARTS LEGACY,52.9
THE WITCHER 3: WILD HUNT - COMPLETE EDITION,50.5
AMONG US,49.3
BORDERLANDS 2,46.9
EURO TRUCK SIMULATOR 2,45.7
VALHEIM,44.5
PHASMOPHOBIA,43.3
MONSTER HUNTER: WORLD,37.2
RED DEAD REDEMPTION 2,31.2
BATTLEFIELD 2042,30.0
