Fuente,Tienda,Nombre,Nombre Limpio,Precio Original,Moneda,Precio UYU,Plataforma,Link,NombreKey,Demanda,Competitividad,ScoreVenta,Nivel,Costo UYU,Precio Venta UYU,Ganancia UYU,Margen sobre venta %
Zonadigital,ZonaDigital Apex,APEX LEGENDS EA APP,APEX LEGENDS EA APP,$28.503,CLP,1189.21,Apex Legends,https://zonadigitalmd.comproducto/p3011637,APEX LEGENDS EA APP,98.8,1.0,99.3,TOP,1189.0,1486.0,297.0,20.0
Eneba,Eneba - GOG,Baldur's Gate 3 (PC) GOG,Baldur's Gate 3 (PC) GOG,68.49 USD,USD,2750.58,GOG,https://www.eneba.com/latam/gog-baldurs-gate-3-pc-gog-key-global,BALDUR'S GATE 3 (PC) GOG,76.3,1.0,85.8,TOP,2751.0,3439.0,688.0,20.0
Eneba,Eneba - GOG,Cyberpunk 2077 & Phantom Liberty Bundle (PC) Gog.com,Cyberpunk 2077 & Phantom Liberty Bundle (PC) Gog.com,31.13 USD,USD,1250.19,GOG,https://www.eneba.com/latam/gog-cyberpunk-2077-phantom-liberty-bundle-pc-gog-com-key-global,CYBERPUNK 2077 & PHANTOM LIBERTY BUNDLE (PC) GOG.COM,56.1,1.0,73.7,MUY ALTO,1250.0,1562.0,312.0,20.0
Eneba,Eneba - GOG,Cyberpunk 2077 GOG Clave,Cyberpunk 2077 GOG Clave,25.49 USD,USD,1023.69,GOG,https://www.eneba.com/latam/gog-cyberpunk-2077-gog-key-united-states,CYBERPUNK 2077 GOG CLAVE,56.1,1.0,73.7,MUY ALTO,1024.0,1280.0,256.0,20.0
Eneba,Eneba - GOG,Cyberpunk 2077: Ultimate Edition (PC) GOG,Cyberpunk 2077: Ultimate Edition (PC) GOG,30.38 USD,USD,1220.07,GOG,https://www.eneba.com/latam/gog-cyberpunk-2077-ultimate-edition-pc-gog-key-global,CYBERPUNK 2077: ULTIMATE EDITION (PC) GOG,56.1,1.0,73.7,MUY ALTO,1220.0,1525.0,305.0,20.0
Eneba,Eneba - GOG,The Witcher 3: Wild Hunt - Complete Edition (PC) GOG,The Witcher 3: Wild Hunt - Complete Edition (PC) GOG,22.75 USD,USD,913.65,GOG,https://www.eneba.com/latam/gog-the-witcher-3-wild-hunt-complete-edition-pc-gog-key-global,THE WITCHER 3: WILD HUNT - COMPLETE EDITION (PC) GOG,51.4,1.0,70.8,MUY ALTO,914.0,1142.0,228.0,20.0
Woocommerce,UYJuegos Nintendo,AMONG US NINTENDO SWITCH,AMONG US SWITCH,129 UYU,UYU,129.0,Nintendo,https://uruguayjuegosdigitales.com/tienda/juegos-nintendo/estrenos-nintendo-switch/among-us-nintendo-switch/,AMONG US SWITCH,50.2,1.0,70.1,MUY ALTO,129.0,161.0,32.0,19.9
Woocommerce,UYJuegos Nintendo,DEAD BY DAYLIGHT – NINTENDO SWITCH,DEAD BY DAYLIGHT – SWITCH,559 UYU,UYU,559.0,Nintendo,https://uruguayjuegosdigitales.com/tienda/juegos-nintendo/estrenos-nintendo-switch/dead-by-daylight-nintendo-switch/,DEAD BY DAYLIGHT – SWITCH,54.9,1.0,72.9,MUY ALTO,559.0,699.0,140.0,20.0
Woocommerce,UYJuegos Nintendo2,ELDEN RING Tarnished Edition Nintendo Switch 2,ELDEN RING TARNISHED EDITION SWITCH 2,3.139 UYU,UYU,3139.0,Nintendo,https://uruguayjuegosdigitales.com/tienda/juegos-nintendo/estrenos-nintendo-switch/elden-ring-tarnished-edition-nintendo-switch-2/,ELDEN RING TARNISHED EDITION SWITCH 2,81.0,1.0,88.6,TOP,3139.0,3924.0,785.0,20.0
Woocommerce,UYJuegos Nintendo,Hogwarts Legacy Digital Deluxe Edition – Nintendo Switch,HOGWARTS LEGACY EDITION – SWITCH,2.709 UYU,UYU,2709.0,Nintendo,https://uruguayjuegosdigitales.com/tienda/juegos-nintendo/juegos-nintendo-switch/hogwarts-legacy-digital-deluxe-edition-nintendo-switch/,HOGWARTS LEGACY EDITION – SWITCH,53.7,1.0,72.2,MUY ALTO,2709.0,3386.0,677.0,20.0
Woocommerce,UYJuegos Nintendo,HOGWARTS LEGACY – NINTENDO SWITCH,HOGWARTS LEGACY – SWITCH,817 UYU,UYU,817.0,Nintendo,https://uruguayjuegosdigitales.com/tienda/juegos-nintendo/estrenos-nintendo-switch/hogwarts-legacy-nintendo-switch/,HOGWARTS LEGACY – SWITCH,53.7,1.0,72.2,MUY ALTO,817.0,1021.0,204.0,20.0
Woocommerce,UYJuegos Nintendo2,Hogwarts Legacy – Nintendo Switch 2,HOGWARTS LEGACY – SWITCH 2,2.107 UYU,UYU,2107.0,Nintendo,https://uruguayjuegosdigitales.com/tienda/juegos-nintendo/nintendo-switch-2/hogwarts-legacy-nintendo-switch-2/,HOGWARTS LEGACY – SWITCH 2,53.7,1.0,72.2,MUY ALTO,2107.0,2634.0,527.0,20.0
Woocommerce,UYJuegos Nintendo,RUSTLER NINTENDO SWITCH,RUSTLER SWITCH,473 UYU,UYU,473.0,Nintendo,https://uruguayjuegosdigitales.com/tienda/juegos-nintendo/estrenos-nintendo-switch/rustler-nintendo-switch/,RUSTLER SWITCH,70.3,1.0,82.2,MUY ALTO,473.0,591.0,118.0,20.0
Woocommerce,UYJuegos Nintendo,STARDEW VALLEY – NINTENDO SWITCH,STARDEW VALLEY – SWITCH,215 UYU,UYU,215.0,Nintendo,https://uruguayjuegosdigitales.com/tienda/juegos-nintendo/juegos-nintendo-switch/stardew-valley-nintendo-switch/,STARDEW VALLEY – SWITCH,66.8,1.0,80.1,MUY ALTO,215.0,269.0,54.0,20.1
Woocommerce,UYJuegos Nintendo,TERRARIA – NINTENDO SWITCH,TERRARIA – SWITCH,473 UYU,UYU,473.0,Nintendo,https://uruguayjuegosdigitales.com/tienda/juegos-nintendo/juegos-nintendo-switch/terraria-nintendo-switch/,TERRARIA – SWITCH,79.8,1.0,87.9,TOP,473.0,591.0,118.0,20.0
Woocommerce,UYJuegos PC,CYBERPUNK 2077 PC,CYBERPUNK 2077,1.763 UYU,UYU,1763.0,Otros,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-pc/todos-los-juegos-pc/cyberpunk-2077-pc/,CYBERPUNK 2077,56.1,1.0,73.7,MUY ALTO,1763.0,2204.0,441.0,20.0
Woocommerce,UYJuegos PC,DEAD BY DAYLIGHT PC,DEAD BY DAYLIGHT,1.333 UYU,UYU,1333.0,Otros,https://uruguayjuegosdigitales.com/tienda/juegos-digitales-pc/todos-los-juegos-pc/dead-by-daylight-pc/,DEAD BY DAYLIGHT,54.9,1.0,72.9,MUY ALTO,1333.0,1666.0,333.0,20.0
