fecha_utc,tienda,tipo,pagina,url,metodo,http_status,bytes,titulo,productos,motivo,archivo_html
2026-09-26T11:42:17.420699+00:00,Alpha PS4 Secundaria,shopify,1,https://alphajuegosdigitales.com/collections/juegos-ps4,playwright,404,140007,"404 No encontrado
 – Alphagames",,HTTP 404,cuarentena_raw/alpha_ps4_secundaria/p1_playwright_http404.html
2026-09-26T11:42:17.420731+00:00,Alpha PS4 Secundaria,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:42:17.488371+00:00,DigitalWorld PS4,woocommerce,1,https://digitalworldpsn.com/es/juegos-digitales-ps4/?v=1b23f8a4c97c,requests,403,5670,Just a moment...,,HTTP 403,cuarentena_raw/digitalworld_ps4/p1_http403.html
2026-09-26T11:42:22.554556+00:00,DigitalWorld PS4,playwright,1,https://digitalworldpsn.com/es/juegos-digitales-ps4/?v=1b23f8a4c97c,playwright,200,401082,Juegos PS4 | Digital World PSN,,,cuarentena_raw/digitalworld_ps4/p1_playwright_http200.html
2026-09-26T11:42:26.710952+00:00,DigitalWorld PS4,playwright,2,https://digitalworldpsn.com/es/juegos-digitales-ps4/?v=1b23f8a4c97c/page/2/,playwright,403,28676,Un momento…,,HTTP 403,cuarentena_raw/digitalworld_ps4/p2_playwright_http403.html
2026-09-26T11:42:26.948396+00:00,DigitalWorld PS4,RESUMEN,,,,,,,13,RECUPERADA,
2026-09-26T11:42:26.980836+00:00,DigitalWorld PS5,woocommerce,1,https://digitalworldpsn.com/es/juegos-digitales-ps5/?v=1b23f8a4c97c,requests,403,5670,Just a moment...,,HTTP 403,cuarentena_raw/digitalworld_ps5/p1_http403.html
2026-09-26T11:42:31.020103+00:00,DigitalWorld PS5,playwright,1,https://digitalworldpsn.com/es/juegos-digitales-ps5/?v=1b23f8a4c97c,playwright,403,28652,Un momento…,,HTTP 403,cuarentena_raw/digitalworld_ps5/p1_playwright_http403.html
2026-09-26T11:42:31.020126+00:00,DigitalWorld PS5,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:42:31.058258+00:00,DigitalWorld Switch,woocommerce,1,https://digitalworldpsn.com/es/juegos-digitales-switch/?v=1b23f8a4c97c,requests,403,5700,Just a moment...,,HTTP 403,cuarentena_raw/digitalworld_switch/p1_http403.html
2026-09-26T11:42:35.103578+00:00,DigitalWorld Switch,playwright,1,https://digitalworldpsn.com/es/juegos-digitales-switch/?v=1b23f8a4c97c,playwright,403,28661,Un momento…,,HTTP 403,cuarentena_raw/digitalworld_switch/p1_playwright_http403.html
2026-09-26T11:42:35.103600+00:00,DigitalWorld Switch,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:42:35.142205+00:00,DigitalWorld VR,woocommerce,1,https://digitalworldpsn.com/es/juegos-ps-vr-vr2/?v=1b23f8a4c97c,requests,403,5637,Just a moment...,,HTTP 403,cuarentena_raw/digitalworld_vr/p1_http403.html
2026-09-26T11:42:39.182000+00:00,DigitalWorld VR,playwright,1,https://digitalworldpsn.com/es/juegos-ps-vr-vr2/?v=1b23f8a4c97c,playwright,403,28618,Un momento…,,HTTP 403,cuarentena_raw/digitalworld_vr/p1_playwright_http403.html
2026-09-26T11:42:39.182023+00:00,DigitalWorld VR,RESUMEN,,,,,,,0,SIN PRODUCTOS / REQUIERE PARSER,
2026-09-26T11:42:39.215243+00:00,DigitalWorld Xbox,woocommerce,1,https://digitalworldpsn.com/es/juegos-digitales-xbox/?v=1b23f8a4c97c,requests,403,5694,Just a moment...,,HTTP 403,cuarentena_raw/digitalworld_xbox/p1_http403.html
2026-09-26T11:42:43.251602+00:00,DigitalWorld Xbox,playwright,1,https://digitalworldpsn.com/es/juegos-digitales-xbox/?v=1b23f8a4c97c,playwright,403,28677,Un momento…,,HTTP 403,cuarentena_raw/digitalworld_xbox/p1_playwright_http403.html
